,trecho,pergunta 1,pergunta 2,pergunta 3,pergunta 4
0,"que o tempo africano é, às vezes, um tempo mítico e social, mas também que os africanos têm consciência de serem os agentes de sua própria história. Enfim, veremos que este tempo africano é um tempo realmente histórico.
Tempo mitico e tempo social Num primeiro contato com a África, e mesmo a partir da leitura de numerosas obras etnológicas, tem‑se a impressão de que os africanos estavam imersos e, como que afogados no tempo mítico, vasto oceano sem margens nem marcos, enquanto os outros povos percorriam a avenida da história, imenso eixo balizado pelas etapas do progresso. 
De fato, o mito, representação fantástica do passado, em geral domina o pensamento dos africanos na sua concepção do desenrolar da vida dos povos. Isso a tal ponto que, às vezes, a escolha e o sentido dos acontecimentos reais deviam obedecer a um modelo mítico que predeterminava até os gestos mais prosaicos do soberano ou do povo. 
Sob forma de, costumes vindos de tempos imemoriais, o mito governava a História, encarregando‑se, por outro lado, de justifica‑la. Num tal contexto, aparecem duas características surpreendentes do pensamento histórico: sua intemporalidade e sua dimensão essencialmente social.",Qual a relação entre o tempo mítico e a cultura social na África?, Qual o tipo de tempo predominante na sociedade afriacana?, Quais as principais características do pensamento histórico no contexto temporal?,
1,"do africano pelo simples fato de sua cor de pele e de suas feições físicas, crença esta que tinha valor de argumento229. 
Nessa mesma época, a Inglaterra e a Espanha lutavam em prol do domínio do Caribe. A Inglaterra tomou Barbados em 1627, e a Jamaica em 1655. As plantações locais exigiam uma mão de obra importante, que decuplicou ao longo de quarenta anos, graças à chegada de um grande número de escravos de Angola, Costa do Ouro, Congo, Nigéria, Daomé, e após 1690, de Madagascar. 
Durante as últimas décadas do século 17, ingleses e franceses confirmaram sua supremacia no Caribe. Em Barbados e Jamaica, a escravidão desenvolveu-se rapidamente e serviu de modelo para a América do Norte. 
Ademais, no Caribe apareceram centros de adestramento, onde os escravos africanos eram domados. Porém, pelo fato de um grande número desses africanos adestrados conhecer bem as condições que reinavam na ilhas caribenhas, e participar algumas vezes de conspirações e revoltas, eles serviam também como modelo de resistência para os escravos da América do Norte. "," Quais os principais paises de origem dos escravos que estavam no Caribe durante o século 17?
", Qual era a relação entre os centros de adestramento do Caribe e os escravos da América do Norte?, Em qual ano a inglaterra domou Barbados? ,
2,"O texto mais antigo escrito em velho núbio é uma inscrição realizada em 795 na igreja de al-Sebua por um certo Petro, padre originário de Faras376. 
Os textos do velho núbio que chegaram até nós possuem, em geral, um caráter religioso; trata-se dos textos canônicos fragmentos dos evangelhos, dos códices onde são reportadas a vida e as palavras dos santos por exemplo, o milagre de Santo Ménas377 e a homilia do Pseudo-Crisóstomo378, livros de missa, uma ladainha endereçada à Cruz, um conjunto extraordinariamente rico de documentos jurídicos e cartas recentemente descobertos em Kasr Ibrim379, assim como grande número de grafites escritos em núbio ou em uma mistura de núbio e grego. 
Todos estes textos apresentam o maior interesse, não somente dos pontos de vista histórico e religioso, mas, igualmente, do ponto de vista linguístico: com efeito, nós conhecemos ainda mal a gramática e o léxico do velho núbio380 e a grande maioria dos textos recentemente descobertos ainda não foi publicada. 
376 F L GRIFFITH, 1913, página 61; E ZYHLARZ, 1928a, páginas 163-170 ",Qual a data do texo mais antigo escrito em velho núbio?,,,
3,"Um colóquio relativo à ciência e à cultura africanas, consideradas como instrumentos para o desenvolvimento, foi organizado pela OUA, em cooperação com a UNESCO, em Libreville entre os dias 23 e 27 de janeiro, do ano 1981; uma resolução adotada neste colóquio convidava a OUA a organizar uma reunião de cientistas na África. 
Quatro anos mais tarde, a Assembleia dos chefes de Estado e de governo da OUA adotava, durante a sua vigésima primeira sessão ordinária, mantida em Addis-Abeba, de 18 a 20 de julho do ano 1985, o Programa Prioritário de Recuperação Econômica da África, 1986-1990, em cujo parágrafo 34, constata-se: 
A experiência mostra que país algum experimentou qualquer pungência econômica sem erigir uma base mínima em matéria de ciência e tecnologia. Durante a mesma sessão, os chefes de Estado e de governo da OUA adotaram a resolução AHG. Res. 
146 20I chamando a UNESCO a elaborar um programa de ajuda para a África nos campos da pesquisa científica e desenvolvimentista, destinado a desenvolver prioritariamente as capacidades científico-tecnológicas dos países africanos na áreas da geologia, microbiologia, agricultura, alimentação, saúde e dos recursos hídricos, em superfície e subterrâneos.",,,,
4,"A partir de então,Abd al-Mumin,à frente de forças consideráveis e dispondo sem dúvida de importantes recursos, julgou-se preparado para enfrentar os almorávidas nas planícies. As condições eram bastante favoráveis a essa iniciativa. Em 1143,a sucessãode AlI IbnYusuf IbnTashfIn provocou dissensões entreos chefes lamtuna e masufa, pilares do regime almorávida. 
Em 1145, a morte do catalão Reverter al-Ruburtayr, chefe das milícias cristãs dos almorávidas, privou estes últimos de um de seus generais mais devotados e hábeis. Finalmente, o tawhid adesão aos almóadas dos Zenata fez com que a balança pendesse em favor dos almóadas, que tomaram Tlemcen e obrigaram o emir almorávida TashfIn Ibn Ali a recuar para Orã, onde morreu em consequência de uma queda de cavalo.
A essa altura, todo o Atlas até o Rif ,a costa mediterrânea e a porção ocidental do Magreb central tinham sido submetidos. O cerco almóada fechava-se sobre o território almorávida, onde o poder se encontrava cada vez mais desorganizado. Abd al-Mumin empreendeu a organização de suas novas conquistas tomando por base o sistema político da comunidade almóada. Estas se mostraram indóceis, e o novo califa precisou usar de extrema severidade para reprimir revoltas e conjurações86. 
Abd al-Muminnãoobteveoapoiounânimedosalmóadas,quenaépocaainda não constituíam um grupo homogêneo; assim, enquanto alguns contestavam o novo chefe, outros manifestavam veleidades de retornar à antiga liberdade. Com ",,,,
5,"Quaisquer que sejam as dúvidas a respeito do número da população da África no início do século 19 ou das consequências do crescimento demográfico da época, há um elemento do qual temos certeza: os europeus mostraram, então, pela África um crescente interesse, cuja importância como fator de mudança na história da África foi certamente exagerada. 
Tal interesse levou de início os europeus a empreenderem, aproximadamente a partir do fim do século 18, expedições visando recolher informações mais precisas sobre as principais características geográficas do continente africano: fontes dos rios, situação das montanhas e dos lagos, repartição da população. 
Buscava-se também saber quais eram os maiores Estados, os mais importantes mercados e as principais produções agrícolas e industriais. A Revolução Francesa, as guerras napoleônicas e os esforços dos países coligados – notadamente da Inglaterra, enquanto principal potência marítima – para conter a expansão francesa tiveram repercussões sobre a África. 
Os franceses, para os quais o Egito representava a porta do Extremo Oriente, ocuparam Alexandria e Cairo. Os ingleses tomaram a colônia holandesa do Cabo. Em seguida, ao tomar amplitude, o movimento em prol da abolição da escravidão permitiu à Inglaterra, cuja supremacia marítima se afirmava cada vez mais, intervir na África o quanto queria, sob o pretexto de uma missão a cumprir. Em 1807, o Governo inglês proibiu o tráfico de escravos aos mercadores ingleses e fez da "," Quais eram os interesses dos europeus no continente africano no fim do século 18?
"," Qual era a relação de poder do Egito com a França no fim do século 18?
", Em qual ano a Inglaterra proibiu  o tráfico de escravos aos mercadores ingleses?,
6,"Em 1904, no momento em que julgam encerrada a ocupação, os colonizadores têm consciência da precariedade da situação. O temor deles viu-se confirmado naquele mesmo ano, com a insurreição de 1904-1905 no sudeste. 
O levante, irrompido em novembro de 1904 na província de Farafangana, logo se espalhou para oeste, graças a contatos tradicionais, históricos, entre as populações do leste e os Bara figura 10.6. Se a solidariedade dos clãs diante do inimigo comum justifica a rápida expansão do movimento, as condições geográficas florestas, falésias explicam as dificuldades encontradas pelas forças de repressão. 
Os revoltosos, conduzidos por chefes pertencentes aos clãs Bara como Befanoha e aos do sudeste como Mahavelo e o grupo de Masianaka, além de Resohiry, da região de Vangaindrano, ou por milicianos dissidentes como o cabo Kotavy, atacaram postos militares em Amparihy, Begogo e Esira e concessões, como a Émeraude, onde assassinaram o proprietário, o tenente Conchon. Soldados de infantaria recrutados localmente desertaram de seus postos em Tsivory e Bekitro, ou juntaram-se aos rebeldes, como em Antanimora.
Galliéni explicou a insurreição como resultado da mentalidade da população local, de humor belicoso e uma concepção sedutora de desordem e rapina.",Onde o tenente Conchon foi assassinado?,,,
7,"Todavia, os escravos dotados de talentos excepcionais atingiam preços astronômicos. As dançarinas experientes eram colocadas a venda por 1000 a 2000 dinares. Em Bagdá, no ano 306-918, quase todos os cantores eram de origem servil. No ano 300-912, uma cantora foi vendida por 13000 dinares na alta sociedade1945 
Visto o contexto político e social em que surgiu na Arábia, o Islã não podia nem suprimir a escravidão como instituição,nem aboli-la como doutrina. Todavia, ele se esforçou para abrandar o sistema e lenir os aspectos morais e jurídicos. 
Ao fazê-lo, encorajou uma forma atenuada de escravidão, fundada em um certo respeito ao ser humano. O fato de os vencidos nas batalhas não serem mais mortos, e sim feitos prisioneiros, representava uma inovação radical em relação às práticas correntes até então, e um real progresso. 
Hoje, a escravidão nos choca sob qualquer forma que ela se apresente, mas o mesmo não valia para as gerações que nos precederam, pois elas viviam em uma época e em um meio tão completamente diferente, que mesmo a noção de liberdade era praticamente desconhecida. ",Por quanto foi vendida uma cantora escrava em Bagdá? ,,,
8," Quanto ao bispo de Alexandria, encontrava-se numa situação bastante peculiar em relação aos padres (presbyteroi), uma vez que estes formavam, como a principio era comum na Igreja, um colegio poderoso. Para manter sua autoridade, portanto, via-se obrigado a confiar nos bispos provínciais (os chorepiskopoi, ou bispos da chora, isto e, do Egito a exceção de Alexandria), cuja consagração dependia dele.
Esse conflito de interesses e posições gerava serias disputas. A primeira delas surgiu quando o bispo Melecio de Licopolis (Assiut) apoiou os defensores do rigorismo, que recusavam admitir no seio da Igreja aqueles que se tinham omitido durante as perseguições.
Uma outra disputa, que acarretou conseqüências mais serias, resultou das diferenças de concepção entre clerigos e entre escolas filosóficas quanto a dupla natureza, humana e divina, de Cristo.
 Teria ele duas naturezas indissociaveis - sendo apenas uma divina e a outra, humana, simples aparencia - ou duas naturezas distintas? O sacerdote Ario, da Siria, optou pela segunda solução ao problema, suscitando uma replica oficial da Igreja que acabou por condena- lo.", Qual o foi bispo responsável pela primeira disputa de poder entre Alexandria e o restante do Egito?,,,
9,"Este quadro refletia muito fielmente a estrutura marcada por clãs, própria à sociedade somali. Embora os partidos ligados a clãs tenham oficialmente feito figurar os objetivos nacionalistas e pan-somali em seus programas, eles não permaneceriam, contudo e não menos, ligados à defesa e à promoção de seus interesses particulares30. 
Os três primeiros anos da década foram marcados por fortes tensões entre os italianos e a LJS que, por sua vez, reclamava maior participação na administração e organizava numerosas manifestações anti-italianas.
Em contrapartida, entre as eleições municipais de 1954, em consequência das quais a LJS confirmou a sua posição dominante, e 1960, a hostilidade dos italianos em relação a este partido diminuiu, gradativamente, em relação direta com a compreensão, pelos italianos, da sua impossibilidade em enfrentar esta formação, a mais potente da futura Somali independente. Em fevereiro de 1955, 
30 A. A. CASTAGNO, 1966. ",Qual país europeu colonizou a Somali?     ,,,
